data_type;object handle;response;prompt type
viable_response;flour1_instance_21;the goal is that the flour is in the drawer and the drawer is closed;repair_recurse_prompt
viable_response;flour1_instance_21;the goal is that the flour is in the fridge;repair_recurse_prompt
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the cupboard and the cupboard is closed;recurse_prompt
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the fridge and the fridge is closed;recurse_prompt
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the pantry and the pantry is closed;recurse_prompt
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the pantry;repair_prompt
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the drawer and the drawer is closed;repair_recurse_prompt
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the fridge;repair_prompt_end_branch
viable_response;plastic-cups1_instance_22;the goal is that the plastic-cups are in the refrigerator and the refrigerator is closed;repair_recurse_prompt
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the cupboard and the cupboard is closed;recurse_prompt
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the pantry and the pantry is closed;recurse_prompt
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the cupboard;recurse_prompt_end_branch
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the pantry;recurse_prompt_end_branch
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the kitchen;recurse_prompt_end_branch
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the drawer and the drawer is closed;repair_recurse_prompt
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the fridge and the fridge is closed;repair_prompt
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the fridge;repair_prompt_end_branch
viable_response;paper-plates1_instance_23;the goal is that the paper-plates are in the refrigerator and the refrigerator is closed;repair_recurse_prompt
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the cupboard and the cupboard is closed;initial_prompt
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the pantry and the pantry is closed;recurse_prompt
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the cupboard;initial_prompt_end_branch
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the fridge and the fridge is closed;repair_prompt
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the fridge;repair_prompt_end_branch
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the refrigerator and the refrigerator is closed;repair_recurse_prompt
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the pantry;repair_prompt_end_branch
viable_response;can-of-beans1_instance_24;the goal is that the can-of-beans is in the pantry and the fridge is closed;repair_recurse_prompt
viable_response;granola1_instance_25;the goal is that the granola is in the cupboard and the cupboard is closed;recurse_prompt
viable_response;granola1_instance_25;the goal is that the granola is in the pantry and the pantry is closed;initial_prompt
viable_response;granola1_instance_25;the goal is that the granola is in the pantry;repair_prompt_end_branch
viable_response;granola1_instance_25;the goal is that the granola is in the fridge and the fridge is closed;repair_recurse_prompt
viable_response;cheese1_instance_26;the goal is that the cheese is in the fridge and the fridge is closed;initial_prompt
viable_response;cheese1_instance_26;the goal is that the cheese is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;cheese1_instance_26;the goal is that the cheese is in the refrigerator;repair_prompt_end_branch
viable_response;butter1_instance_27;the goal is that the butter is in the fridge and the fridge is closed;initial_prompt
viable_response;butter1_instance_27;the goal is that the butter is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;apple-cider1_instance_28;the goal is that the apple-cider is in the fridge and the fridge is closed;initial_prompt
viable_response;apple-cider1_instance_28;the goal is that the apple-cider is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;apple-cider1_instance_28;the goal is that the groceries are in the fridge and the fridge is closed;recurse_prompt
viable_response;apple-cider1_instance_28;the goal is that the apple-cider is in the fridge;initial_prompt_end_branch
viable_response;hummus1_instance_29;the goal is that the hummus is in the fridge and the fridge is closed;initial_prompt
viable_response;hummus1_instance_29;the goal is that the hummus is in the refrigerator and the refrigerator is closed;recurse_prompt
viable_response;hummus1_instance_29;the goal is that the hummus is in the fridge;initial_prompt_end_branch
viable_response;hummus1_instance_29;the goal is that the hummus is in the refrigerator;recurse_prompt_end_branch
viable_response;hummus1_instance_29;the goal is that the groceries are in the fridge;recurse_prompt_end_branch
